City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Mpika,ZM,-11.8343,31.4529,74.59,41,86,3.87,overcast clouds
212,Namatanai,PG,-3.6667,152.4333,79.95,80,78,7.49,broken clouds
213,Ubinskoye,RU,55.3068,79.6802,15.35,96,100,7.2,overcast clouds
214,Pacific Grove,US,36.6177,-121.9166,59.76,58,24,1.01,few clouds
215,Talnakh,RU,69.4865,88.3972,8.47,87,99,7.92,overcast clouds
216,Pilar,BR,-9.5972,-35.9567,89.53,47,9,15.26,clear sky
217,Barranca,PE,-10.75,-77.7667,69.84,73,90,10.65,overcast clouds
218,Port Hardy,CA,50.6996,-127.4199,41.67,89,100,23.8,light rain
219,Gigmoto,PH,13.7796,124.39,80.29,88,100,10.13,light rain
220,Castro,BR,-24.7911,-50.0119,83.3,39,86,2.19,overcast clouds
221,Matara,LK,5.9485,80.5353,76.01,91,100,2.51,light rain
222,Honningsvag,NO,70.9821,25.9704,26.35,74,75,5.75,light snow
223,Benghazi,LY,32.1167,20.0667,68.88,63,91,14.29,overcast clouds
224,Raudeberg,NO,61.9875,5.1352,39.87,72,96,22.79,light rain
225,Nara,JP,34.6851,135.8049,49.5,49,32,4.32,scattered clouds
226,Gallup,US,35.5281,-108.7426,40.01,87,40,1.01,scattered clouds
227,Khandyga,RU,62.6667,135.6,-22.67,100,99,1.19,overcast clouds
228,Mahabad,IR,36.7631,45.7222,45.23,68,100,8.79,overcast clouds
229,Victoria,HK,22.2855,114.1577,68.25,75,3,1.99,clear sky
230,Narsaq,GL,60.9167,-46.05,32.22,99,100,8.66,snow
231,Nyurba,RU,63.2842,118.3319,-1.12,88,100,4.68,overcast clouds
232,Grand Gaube,MU,-20.0064,57.6608,77.38,71,13,3.0,few clouds
233,Tangzhai,CN,34.4328,116.5911,44.46,43,0,2.24,clear sky
234,Saint-Georges,GD,12.0564,-61.7485,83.46,72,50,9.24,scattered clouds
